iter	Passed	Remaining
0	1	194
1	3	169
2	5	164
3	6	151
4	7	150
5	12	188
6	13	180
7	15	180
8	17	176
9	19	173
10	20	168
11	22	163
12	25	172
13	27	170
14	29	167
15	30	162
16	32	157
17	33	153
18	35	149
19	37	151
20	42	159
21	44	156
22	46	156
23	48	154
24	50	151
25	52	149
26	57	155
27	58	151
28	60	148
29	62	145
30	64	142
31	65	139
32	67	137
33	72	139
34	74	138
35	76	135
36	77	132
37	79	129
38	80	126
39	82	123
40	83	120
41	87	120
42	89	118
43	90	115
44	92	113
45	94	110
46	96	108
47	97	105
48	101	105
49	102	102
50	104	100
51	106	97
52	107	95
53	109	92
54	109	89
55	111	87
56	113	85
57	117	84
58	118	82
59	120	80
60	122	78
61	124	76
62	127	74
63	133	75
64	136	73
65	138	71
66	141	69
67	144	67
68	148	66
69	151	64
70	153	62
71	155	60
72	156	58
73	160	56
74	163	54
75	165	52
76	166	49
77	169	47
78	171	45
79	172	43
80	178	41
81	181	39
82	184	37
83	187	35
84	191	33
85	193	31
86	197	29
87	198	27
88	200	24
89	202	22
90	205	20
91	207	18
92	208	15
93	212	13
94	214	11
95	215	8
96	218	6
97	221	4
98	223	2
99	225	0
